DATASET_SIMPLEBAR
SEPARATOR COMMA
COLOR,#ff0000
DATASET_LABEL,sbar
DATA
7539,111
1744,226
7548,281
1418,215
5309,64
2935,71
1304,226
2749,290
237,58
1223,18
2333,11
9174,110
6865,20
9615,273
3606,210
4087,79
9412,151
6572,16
6806,192
2154,238
7102,282
1921,33
753,41
1701,174
7396,163
7572,90
6304,276
3983,95
8378,131
1999,244
7550,261
4945,261
2527,254
4870,20
5103,156
4683,190
729,191
9723,96
9934,142
5784,119
6529,294
8463,67
2647,3
7021,184
2747,293
8518,25
7409,175
6880,131
7748,79
539,253
1977,173
6347,91
1797,148
2055,101
8090,171
8033,140
4796,81
4483,204
6321,163
9151,269
